Number,Carrington Longitude,Area,Z,Longitudinal Extent,Number of Sunspots,Mag Type,Latitude,Longitude,date,Flare,Class,ID
19499,229,30,Hsx,1,1,Alpha,20,83,19/06/2001,,,1949937061
19500,168,40,Cao,5,5,Beta,11,22,19/06/2001,,,1950037061
19501,170,80,Cao,5,10,Beta,-14,24,19/06/2001,,,1950137061
19502,154,60,Dao,9,10,Beta,-26,8,19/06/2001,,,1950237061
19503,139,470,Eki,15,42,Beta-Gamma,14,-7,19/06/2001,,,1950337061
19504,135,320,Cko,5,5,Beta,8,-11,19/06/2001,,,1950437061
19505,127,60,Dao,3,3,Beta,21,-19,19/06/2001,,,1950537061
19506,112,330,Fai,22,30,Beta,17,-34,19/06/2001,,,1950637061
19498,197,10,Axx,2,3,Alpha,22,64,20/06/2001,,,1949837062
19500,170,10,Bxo,3,3,Beta,11,37,20/06/2001,,,1950037062
19501,171,150,Cao,4,9,Beta,-13,38,20/06/2001,,,1950137062
19502,154,20,Bxo,8,7,Beta,-26,21,20/06/2001,,,1950237062
19503,139,550,Fai,16,56,Beta-Gamma,16,6,20/06/2001,,,1950337062
19504,135,390,Cko,5,8,Beta,8,2,20/06/2001,,,1950437062
19505,128,30,Dso,3,3,Beta,22,-5,20/06/2001,,,1950537062
19506,112,360,Fao,24,35,Beta-Gamma,19,-21,20/06/2001,,,1950637062
19509,137,30,Dso,4,8,Beta,-11,4,20/06/2001,,,1950937062
19498,198,0,Axx,1,2,Alpha,23,78,21/06/2001,,,1949837063
19500,169,20,Bxo,2,3,Beta,12,49,21/06/2001,,,1950037063
19501,170,120,Dao,4,11,Beta,-13,50,21/06/2001,,,1950137063
19502,150,30,Cro,2,2,Beta,-27,30,21/06/2001,,,1950237063
19503,140,510,Fai,17,49,Beta-Gamma,16,20,21/06/2001,,,1950337063
19504,137,360,Cko,5,5,Beta,9,17,21/06/2001,,,1950437063
19505,127,20,Cso,3,3,Beta,22,7,21/06/2001,,,1950537063
19506,112,250,Fao,22,27,Beta-Gamma,19,-8,21/06/2001,,,1950637063
19509,138,50,Dao,6,15,Beta,-10,18,21/06/2001,,,1950937063
19510,155,20,Bxo,3,4,Beta,-6,35,21/06/2001,,,1951037063
19511,67,10,Axx,1,1,Alpha,11,-53,21/06/2001,,,1951137063
19501,171,60,Cao,4,8,Beta,-13,64,22/06/2001,,,1950137064
19503,140,460,Fki,17,40,Beta-Gamma-Delta,16,33,22/06/2001,,,1950337064
19504,135,330,Cko,5,10,Beta,8,28,22/06/2001,,,1950437064
19505,128,10,Hsx,1,1,Alpha,21,21,22/06/2001,,,1950537064
19506,111,240,Fso,24,27,Beta-Gamma,19,4,22/06/2001,,,1950637064
19509,138,60,Dao,7,15,Beta,-11,31,22/06/2001,,,1950937064
19510,156,30,Dso,6,3,Beta,-6,49,22/06/2001,,,1951037064
19511,68,0,Axx,1,1,Alpha,10,-39,22/06/2001,,,1951137064
19512,76,30,Dao,4,6,Beta,-23,-31,22/06/2001,,,1951237064
19513,31,40,Hsx,2,1,Alpha,21,-76,22/06/2001,,,1951337064
19501,172,50,Hsx,2,2,Alpha,-13,78,23/06/2001,,,1950137065
19503,140,380,Fai,18,29,Beta-Gamma,17,46,23/06/2001,,,1950337065
19504,136,260,Dko,5,4,Beta,9,42,23/06/2001,,,1950437065
19505,128,0,Axx,0,1,Alpha,21,34,23/06/2001,,,1950537065
19506,112,280,Fsi,24,15,Beta,19,18,23/06/2001,,,1950637065
19509,139,70,Dso,8,12,Beta,-10,45,23/06/2001,,,1950937065
19510,158,40,Dso,6,4,Beta,-7,64,23/06/2001,,,1951037065
19511,69,40,Dso,5,8,Beta-Gamma,10,-25,23/06/2001,,,1951137065
19512,77,110,Dao,8,13,Beta,-22,-17,23/06/2001,,,1951237065
19513,28,120,Dao,10,4,Beta,22,-66,23/06/2001,,,1951337065
19514,29,40,Hsx,2,1,Alpha,17,-65,23/06/2001,,,1951437065
19501,171,30,Hax,1,1,Alpha,-13,90,24/06/2001,,,1950137066
19503,142,310,Fao,18,20,Beta-Gamma,16,61,24/06/2001,,,1950337066
19504,137,260,Cko,5,5,Beta,8,56,24/06/2001,,,1950437066
19506,115,270,Fao,22,13,Beta,18,34,24/06/2001,,,1950637066
19509,141,60,Cso,7,5,Beta,-9,60,24/06/2001,,,1950937066
19510,159,60,Cro,7,3,Beta,-7,78,24/06/2001,,,1951037066
19511,68,110,Dao,7,22,Beta-Gamma-Delta,10,-13,24/06/2001,,,1951137066
19512,76,130,Eao,11,17,Beta,-22,-5,24/06/2001,,,1951237066
19513,25,160,Fao,16,13,Beta,23,-56,24/06/2001,,,1951337066
19514,27,40,Hsx,2,3,Alpha,17,-54,24/06/2001,,,1951437066
19515,35,70,Cao,4,5,Beta,-6,-46,24/06/2001,,,1951537066
19516,11,90,Hax,5,1,Alpha,12,-70,24/06/2001,,,1951637066
19503,142,250,Eao,14,17,Beta-Gamma,15,75,25/06/2001,,,1950337067
19504,137,250,Dso,4,4,Beta,7,70,25/06/2001,,,1950437067
19506,113,220,Fso,17,9,Beta,17,46,25/06/2001,,,1950637067
19509,143,50,Cso,5,3,Beta,-10,76,25/06/2001,,,1950937067
19511,67,100,Dai,8,21,Beta,10,0,25/06/2001,,,1951137067
19512,76,220,Eai,12,24,Beta,-22,9,25/06/2001,,,1951237067
19513,23,200,Eao,14,19,Beta,23,-44,25/06/2001,,,1951337067
19514,26,50,Hax,2,1,Alpha,17,-41,25/06/2001,,,1951437067
19515,35,140,Dao,6,12,Beta,-6,-32,25/06/2001,,,1951537067
19516,12,90,Hsx,3,2,Alpha,11,-55,25/06/2001,,,1951637067
19503,140,140,Dso,10,7,Beta-Gamma,16,86,26/06/2001,,,1950337068
19504,137,220,Hsx,4,1,Alpha,8,83,26/06/2001,,,1950437068
19506,115,180,Cao,12,6,Beta,17,61,26/06/2001,,,1950637068
19511,68,100,Dao,9,21,Beta,9,14,26/06/2001,,,1951137068
19512,77,190,Eai,13,31,Beta-Gamma,-24,23,26/06/2001,,,1951237068
19513,23,200,Fai,16,31,Beta,22,-31,26/06/2001,,,1951337068
19514,26,30,Hsx,2,1,Alpha,17,-28,26/06/2001,,,1951437068
19515,35,130,Dao,7,17,Beta,-7,-19,26/06/2001,,,1951537068
19516,12,100,Cso,5,2,Beta,12,-42,26/06/2001,,,1951637068
19517,113,30,Bxo,3,3,Beta,-15,59,26/06/2001,,,1951737068
19504,139,120,Hsx,3,1,Alpha,8,98,27/06/2001,,,1950437069
19506,116,170,Cso,23,2,Beta,18,75,27/06/2001,,,1950637069
19511,68,70,Dao,8,14,Beta,10,27,27/06/2001,,,1951137069
19512,77,150,Eai,13,23,Beta-Gamma,-22,36,27/06/2001,,,1951237069
19513,24,180,Fso,16,22,Beta,22,-17,27/06/2001,,,1951337069
19514,27,80,Cao,4,8,Beta,16,-14,27/06/2001,,,1951437069
19515,36,70,Dao,7,12,Beta,-6,-5,27/06/2001,,,1951537069
19516,14,120,Hsx,2,1,Alpha,11,-27,27/06/2001,,,1951637069
19517,113,30,Cro,3,4,Beta,-14,72,27/06/2001,,,1951737069
19506,115,120,Cso,21,2,Beta,18,87,28/06/2001,,,1950637070
19511,69,60,Dso,7,10,Beta,10,37,28/06/2001,,,1951137070
19512,78,150,Eai,13,18,Beta-Gamma,-23,50,28/06/2001,,,1951237070
19513,23,150,Fso,16,24,Beta,22,-5,28/06/2001,,,1951337070
19514,28,40,Cso,4,6,Beta,16,0,28/06/2001,,,1951437070
19515,37,90,Dso,7,12,Beta,-7,9,28/06/2001,,,1951537070
19516,14,120,Cso,4,3,Beta,11,-14,28/06/2001,,,1951637070
19518,343,70,Dso,8,5,Beta,-48,-45,28/06/2001,,,1951837070
19519,5,20,Bxo,3,4,Beta,17,-23,28/06/2001,,,1951937070
19520,3,0,Axx,1,1,Alpha,-10,-25,28/06/2001,,,1952037070
19511,69,30,Dso,5,6,Beta,10,54,29/06/2001,,,1951137071
19512,83,60,Cao,5,5,Beta,-22,68,29/06/2001,,,1951237071
19513,25,90,Dao,10,9,Beta,22,10,29/06/2001,,,1951337071
19514,29,10,Bxo,2,3,Beta,17,14,29/06/2001,,,1951437071
19515,38,60,Cso,5,6,Beta,-5,23,29/06/2001,,,1951537071
19516,14,120,Cso,5,3,Beta,12,-1,29/06/2001,,,1951637071
19518,341,30,Dso,7,3,Beta,-47,-34,29/06/2001,,,1951837071
19519,4,20,Bxo,3,5,Beta,18,-11,29/06/2001,,,1951937071
19521,327,10,Axx,2,2,Alpha,-6,-48,29/06/2001,,,1952137071
19522,309,30,Hsx,2,1,Alpha,-8,-66,29/06/2001,,,1952237071
19511,68,10,Hsx,1,1,Alpha,11,67,30/06/2001,,,1951137072
19512,84,40,Hsx,1,1,Alpha,-22,83,30/06/2001,,,1951237072
19513,26,60,Cso,14,6,Beta,21,25,30/06/2001,,,1951337072
19515,39,50,Hsx,2,1,Alpha,-6,38,30/06/2001,,,1951537072
19516,15,110,Cso,3,2,Beta,12,14,30/06/2001,,,1951637072
19518,339,10,Dso,5,2,Beta,-47,-22,30/06/2001,,,1951837072
19522,309,30,Hsx,1,1,Alpha,-8,-52,30/06/2001,,,1952237072
19523,326,30,Cso,4,4,Beta,-48,-35,30/06/2001,,,1952337072
19511,69,10,Axx,0,1,Alpha,11,81,01/07/2001,,,1951137073
19513,28,40,Cao,9,5,Beta,22,40,01/07/2001,,,1951337073
19515,40,40,Cao,3,2,Beta,-6,52,01/07/2001,,,1951537073
19516,14,90,Cao,5,4,Beta,12,26,01/07/2001,,,1951637073
19518,336,10,Axx,1,1,Alpha,-47,-12,01/07/2001,,,1951837073
19522,310,30,Hax,1,1,Alpha,-8,-38,01/07/2001,,,1952237073
19523,325,130,Dao,6,9,Beta,-49,-23,01/07/2001,,,1952337073
19524,307,10,Axx,0,1,Alpha,15,-41,01/07/2001,,,1952437073
19525,276,40,Hsx,2,1,Alpha,19,-72,01/07/2001,,,1952537073
19513,27,40,Cso,8,3,Beta,22,52,02/07/2001,,,1951337074
19515,41,40,Hsx,1,1,Alpha,-7,66,02/07/2001,,,1951537074
19516,14,80,Hsx,2,1,Alpha,12,39,02/07/2001,,,1951637074
19518,339,10,Axx,1,1,Alpha,-46,4,02/07/2001,,,1951837074
19522,311,20,Hsx,1,1,Alpha,-8,-24,02/07/2001,,,1952237074
19523,324,110,Dao,7,5,Beta,-49,-11,02/07/2001,,,1952337074
19525,275,50,Cao,3,2,Beta,19,-60,02/07/2001,,,1952537074
19526,271,40,Hsx,1,2,Alpha,9,-64,02/07/2001,,,1952637074
19527,261,70,Hax,2,2,Alpha,-16,-74,02/07/2001,,,1952737074
19513,31,20,Hsx,1,1,Alpha,23,69,03/07/2001,,,1951337075
19515,43,40,Hax,1,1,Alpha,-5,81,03/07/2001,,,1951537075
19516,16,100,Cso,4,4,Beta,11,54,03/07/2001,,,1951637075
19518,334,10,Bxo,3,4,Beta,-48,12,03/07/2001,,,1951837075
19522,310,10,Hsx,2,1,Alpha,-8,-12,03/07/2001,,,1952237075
19523,324,50,Dso,8,6,Beta,-50,2,03/07/2001,,,1952337075
19525,275,40,Cao,3,3,Beta,18,-47,03/07/2001,,,1952537075
19526,269,30,Cao,7,3,Beta,8,-53,03/07/2001,,,1952637075
19527,262,110,Cao,5,4,Beta,-17,-60,03/07/2001,,,1952737075
19528,263,70,Cao,3,3,Beta,4,-59,03/07/2001,,,1952837075
19513,29,30,Hsx,1,2,Alpha,22,80,04/07/2001,,,1951337076
19515,40,0,Axx,0,1,Alpha,-6,91,04/07/2001,,,1951537076
19516,15,110,Hsx,2,1,Alpha,10,66,04/07/2001,,,1951637076
19522,310,10,Hrx,1,1,Alpha,-8,1,04/07/2001,,,1952237076
19523,322,80,Dso,9,9,Beta,-48,13,04/07/2001,,,1952337076
19525,275,50,Cao,5,5,Beta,20,-34,04/07/2001,,,1952537076
19526,272,10,Axx,1,1,Alpha,9,-37,04/07/2001,,,1952637076
19527,259,130,Cao,7,6,Beta,-17,-50,04/07/2001,,,1952737076
19528,262,50,Cao,5,5,Beta,6,-47,04/07/2001,,,1952837076
19529,237,80,Hax,2,1,Alpha,7,-72,04/07/2001,,,1952937076
19516,15,120,Hsx,2,1,Alpha,11,80,05/07/2001,,,1951637077
19518,334,30,Bxo,4,3,Beta,-50,37,05/07/2001,,,1951837077
19523,320,70,Dao,10,6,Beta,-50,25,05/07/2001,,,1952337077
19525,272,70,Dao,6,8,Beta,20,-23,05/07/2001,,,1952537077
19526,271,10,Hsx,1,1,Alpha,8,-24,05/07/2001,,,1952637077
19527,259,120,Cao,6,4,Beta,-17,-36,05/07/2001,,,1952737077
19528,263,40,Cao,2,2,Beta,4,-32,05/07/2001,,,1952837077
19529,237,80,Hax,2,1,Alpha,7,-58,05/07/2001,,,1952937077
19516,16,60,Hsx,2,1,Alpha,12,92,06/07/2001,,,1951637078
19518,334,20,Bxo,3,2,Beta,-46,49,06/07/2001,,,1951837078
19522,307,0,Bxo,4,3,Beta,-9,26,06/07/2001,,,1952237078
19523,320,10,Bxo,3,2,Beta,-49,39,06/07/2001,,,1952337078
19525,271,30,Cso,5,7,Beta,19,-10,06/07/2001,,,1952537078
19527,259,130,Hax,2,3,Alpha,-18,-22,06/07/2001,,,1952737078
19528,262,20,Axx,1,2,Alpha,4,-19,06/07/2001,,,1952837078
19529,235,70,Hsx,2,1,Alpha,7,-46,06/07/2001,,,1952937078
19525,271,30,Cso,4,5,Beta,18,3,07/07/2001,,,1952537079
19527,260,110,Hax,3,3,Alpha,-18,-8,07/07/2001,,,1952737079
19528,263,10,Bxo,4,2,Beta,4,-5,07/07/2001,,,1952837079
19529,236,70,Hsx,2,3,Alpha,6,-32,07/07/2001,,,1952937079
19530,293,40,Cso,5,5,Beta,-19,25,07/07/2001,,,1953037079
19525,271,20,Bxo,3,4,Beta,20,16,08/07/2001,,,1952537080
19527,260,100,Hax,3,3,Alpha,-18,5,08/07/2001,,,1952737080
19528,264,0,Axx,0,1,Alpha,4,9,08/07/2001,,,1952837080
19529,238,90,Dso,5,9,Beta,6,-17,08/07/2001,,,1952937080
19530,294,40,Cso,6,10,Beta,-20,39,08/07/2001,,,1953037080
19525,272,0,Axx,1,2,Alpha,19,30,09/07/2001,,,1952537081
19527,259,70,Cao,7,7,Beta,-17,17,09/07/2001,,,1952737081
19529,239,110,Dso,5,12,Beta,7,-3,09/07/2001,,,1952937081
19530,294,30,Cso,6,5,Beta,-20,52,09/07/2001,,,1953037081
19531,223,50,Dao,7,13,Beta-Gamma,-6,-19,09/07/2001,,,1953137081
19532,288,10,Bxo,2,2,Beta,9,46,09/07/2001,,,1953237081
19527,260,50,Cao,3,5,Beta,-18,31,10/07/2001,,,1952737082
19529,239,80,Dso,5,10,Beta,7,10,10/07/2001,,,1952937082
19530,294,20,Cso,3,2,Beta,-20,65,10/07/2001,,,1953037082
19531,222,150,Dai,8,25,Beta-Gamma,-6,-7,10/07/2001,,,1953137082
19532,286,40,Cso,4,4,Beta,8,57,10/07/2001,,,1953237082
19533,200,40,Cso,4,3,Beta,-9,-29,10/07/2001,,,1953337082
19527,259,30,Cso,3,3,Beta,-18,44,11/07/2001,,,1952737083
19529,238,80,Dso,5,6,Beta,7,23,11/07/2001,,,1952937083
19530,295,10,Hrx,0,1,Alpha,-18,80,11/07/2001,,,1953037083
19531,223,140,Dao,7,16,Beta-Gamma,-6,8,11/07/2001,,,1953137083
19532,290,10,Axx,1,1,Alpha,7,75,11/07/2001,,,1953237083
19533,198,40,Dao,6,6,Beta,-9,-17,11/07/2001,,,1953337083
19534,147,20,Bxo,4,2,Beta,18,-68,11/07/2001,,,1953437083
19535,139,90,Hax,3,1,Alpha,10,-76,11/07/2001,,,1953537083
19527,257,20,Bxo,5,4,Beta,-19,55,12/07/2001,,,1952737084
19529,238,60,Cso,5,4,Beta-Gamma,6,36,12/07/2001,,,1952937084
19531,222,100,Dao,7,10,Beta,-6,20,12/07/2001,,,1953137084
19533,199,20,Dso,6,5,Beta,-9,-3,12/07/2001,,,1953337084
19535,139,120,Hsx,2,1,Alpha,6,-63,12/07/2001,,,1953537084
19536,162,30,Cso,4,4,Beta,11,-40,12/07/2001,,,1953637084
19537,163,30,Cro,3,6,Beta,-7,-39,12/07/2001,,,1953737084
19538,116,30,Hsx,3,1,Alpha,17,-86,12/07/2001,,,1953837084
19529,237,50,Hsx,2,3,Alpha,7,48,13/07/2001,,,1952937085
19531,222,60,Dao,6,7,Beta,-6,33,13/07/2001,,,1953137085
19533,201,30,Cso,7,7,Beta,-9,12,13/07/2001,,,1953337085
19535,141,120,Hsx,2,1,Alpha,8,-48,13/07/2001,,,1953537085
19536,166,20,Cso,2,5,Beta,12,-23,13/07/2001,,,1953637085
19537,164,60,Dao,6,10,Beta,-6,-25,13/07/2001,,,1953737085
19538,121,140,Hax,3,1,Alpha,18,-68,13/07/2001,,,1953837085
19539,163,30,Cso,7,5,Beta,-18,-26,13/07/2001,,,1953937085
19529,237,60,Hsx,2,1,Alpha,7,61,14/07/2001,,,1952937086
19531,223,50,Dao,7,5,Beta,-6,47,14/07/2001,,,1953137086
19533,202,30,Cso,6,5,Beta,-9,26,14/07/2001,,,1953337086
19535,141,130,Hsx,2,1,Alpha,5,-35,14/07/2001,,,1953537086
19536,167,20,Cso,2,4,Beta,11,-9,14/07/2001,,,1953637086
19537,165,60,Dao,7,14,Beta,-8,-11,14/07/2001,,,1953737086
19538,120,130,Hax,2,1,Alpha,16,-56,14/07/2001,,,1953837086
19539,165,50,Eao,11,9,Beta,-19,-11,14/07/2001,,,1953937086
19540,134,10,Axx,1,1,Alpha,13,-42,14/07/2001,,,1954037086
19541,107,120,Cao,7,5,Beta,16,-69,14/07/2001,,,1954137086
19529,238,50,Hax,1,1,Alpha,7,75,15/07/2001,,,1952937087
19531,224,20,Bxo,5,2,Beta,-6,61,15/07/2001,,,1953137087
19533,203,50,Dao,6,8,Beta,-9,40,15/07/2001,,,1953337087
19535,141,130,Hsx,3,1,Alpha,6,-22,15/07/2001,,,1953537087
19536,166,10,Cro,3,4,Beta,11,3,15/07/2001,,,1953637087
19537,166,40,Dao,7,10,Beta,-8,3,15/07/2001,,,1953737087
19538,121,180,Hax,3,1,Alpha,16,-42,15/07/2001,,,1953837087
19539,165,110,Eai,11,26,Beta-Gamma,-18,2,15/07/2001,,,1953937087
19540,132,10,Bxo,3,2,Beta,20,-31,15/07/2001,,,1954037087
19541,109,120,Dso,7,6,Beta,18,-54,15/07/2001,,,1954137087
19529,239,30,Hsx,1,1,Alpha,7,90,16/07/2001,,,1952937088
19533,203,40,Dso,7,8,Beta,-8,54,16/07/2001,,,1953337088
19535,141,160,Hsx,2,1,Alpha,6,-8,16/07/2001,,,1953537088
19537,165,30,Dso,5,9,Beta,-8,16,16/07/2001,,,1953737088
19538,121,250,Hkx,3,1,Alpha,16,-28,16/07/2001,,,1953837088
19539,164,110,Eai,12,21,Beta-Gamma,-18,15,16/07/2001,,,1953937088
19541,107,150,Dso,7,8,Beta,17,-42,16/07/2001,,,1954137088
19542,83,30,Cso,5,2,Beta,6,-66,16/07/2001,,,1954237088
19543,78,60,Hax,3,1,Alpha,-24,-71,16/07/2001,,,1954337088
19533,203,50,Dso,8,5,Beta,-9,67,17/07/2001,,,1953337089
19535,141,140,Hsx,2,1,Alpha,6,5,17/07/2001,,,1953537089
19537,164,70,Dso,6,8,Beta,-8,28,17/07/2001,,,1953737089
19538,120,190,Cso,3,1,Beta,16,-16,17/07/2001,,,1953837089
19539,164,190,Eai,13,20,Beta-Gamma,-18,28,17/07/2001,,,1953937089
19541,107,110,Dso,5,6,Beta,17,-29,17/07/2001,,,1954137089
19542,82,20,Cso,5,4,Beta,8,-54,17/07/2001,,,1954237089
19543,74,230,Eso,13,6,Beta,-24,-62,17/07/2001,,,1954337089
19544,150,20,Bxo,5,8,Beta,13,14,17/07/2001,,,1954437089
19545,114,30,Dao,5,6,Beta-Gamma,9,-22,17/07/2001,,,1954537089
19546,76,50,Dso,6,4,Beta,-17,-60,17/07/2001,,,1954637089
19533,204,30,Cro,8,5,Beta,-9,81,18/07/2001,,,1953337090
19535,141,120,Hsx,2,1,Alpha,6,18,18/07/2001,,,1953537090
19537,165,70,Dao,5,10,Beta,-7,42,18/07/2001,,,1953737090
19538,120,180,Hsx,3,1,Alpha,16,-3,18/07/2001,,,1953837090
19539,166,220,Eai,14,20,Beta-Gamma,-18,43,18/07/2001,,,1953937090
19541,107,130,Dao,5,6,Beta,17,-16,18/07/2001,,,1954137090
19542,83,20,Bxo,3,4,Beta,8,-40,18/07/2001,,,1954237090
19543,75,250,Eao,14,13,Beta,-23,-48,18/07/2001,,,1954337090
19544,149,10,Bxo,5,8,Beta,16,26,18/07/2001,,,1954437090
19545,115,50,Dao,7,7,Beta-Gamma,9,-8,18/07/2001,,,1954537090
19546,77,70,Dao,8,6,Beta,-17,-46,18/07/2001,,,1954637090
19535,141,100,Hsx,2,1,Alpha,6,31,19/07/2001,,,1953537091
19537,164,50,Cao,3,4,Beta,-8,54,19/07/2001,,,1953737091
19538,121,180,Hax,3,1,Alpha,17,11,19/07/2001,,,1953837091
19539,168,140,Cao,11,6,Beta,-19,58,19/07/2001,,,1953937091
19541,108,100,Cso,4,5,Beta,18,-2,19/07/2001,,,1954137091
19542,84,20,Bxo,3,4,Beta,8,-26,19/07/2001,,,1954237091
19543,76,270,Eai,14,12,Beta,-23,-34,19/07/2001,,,1954337091
19544,148,10,Bxo,3,4,Beta,15,38,19/07/2001,,,1954437091
19545,118,30,Cso,5,3,Beta,9,8,19/07/2001,,,1954537091
19546,78,60,Dso,10,6,Beta-Gamma,-17,-32,19/07/2001,,,1954637091
19547,132,10,Cro,3,2,Beta,-16,22,19/07/2001,,,1954737091
19548,60,20,Cso,5,2,Beta,17,-50,19/07/2001,,,1954837091
19549,53,20,Axx,1,1,Alpha,-4,-57,19/07/2001,,,1954937091
19550,72,10,Bxo,3,2,Beta,8,-38,19/07/2001,,,1955037091
19535,141,110,Hsx,2,1,Alpha,6,44,20/07/2001,,,1953537092
19537,163,30,Cso,1,2,Beta,-8,66,20/07/2001,,,1953737092
19538,120,130,Hax,3,1,Alpha,17,23,20/07/2001,,,1953837092
19539,171,110,Hax,3,1,Alpha,-20,74,20/07/2001,,,1953937092
19541,107,80,Cso,3,4,Beta,18,10,20/07/2001,,,1954137092
19542,84,40,Cro,5,8,Beta,8,-13,20/07/2001,,,1954237092
19543,75,230,Eso,15,13,Beta,-23,-22,20/07/2001,,,1954337092
19545,119,20,Axx,1,1,Alpha,8,22,20/07/2001,,,1954537092
19546,78,90,Eso,12,9,Beta-Gamma,-17,-19,20/07/2001,,,1954637092
19548,61,40,Cso,6,4,Beta,18,-36,20/07/2001,,,1954837092
19549,52,20,Hsx,1,1,Alpha,-4,-45,20/07/2001,,,1954937092
19550,73,10,Bxo,4,3,Beta,7,-24,20/07/2001,,,1955037092
19551,174,40,Bxo,2,2,Beta,12,77,20/07/2001,,,1955137092
19535,142,120,Hsx,2,1,Alpha,6,58,21/07/2001,,,1953537093
19537,166,30,Hrx,1,1,Alpha,-8,82,21/07/2001,,,1953737093
19538,121,130,Hax,3,1,Alpha,17,37,21/07/2001,,,1953837093
19539,176,120,Hax,4,1,Alpha,-20,92,21/07/2001,,,1953937093
19540,129,10,Axx,2,2,Alpha,18,45,21/07/2001,,,1954037093
19541,112,70,Cao,3,3,Beta,16,28,21/07/2001,,,1954137093
19542,86,30,Cro,6,8,Beta,8,2,21/07/2001,,,1954237093
19543,77,270,Eai,15,24,Beta-Gamma,-23,-7,21/07/2001,,,1954337093
19545,121,10,Hrx,1,1,Alpha,8,37,21/07/2001,,,1954537093
19546,80,40,Eai,12,10,Beta-Gamma,-16,-4,21/07/2001,,,1954637093
19548,60,90,Dao,6,7,Beta,17,-24,21/07/2001,,,1954837093
19549,52,20,Axx,1,1,Alpha,-4,-32,21/07/2001,,,1954937093
19551,173,40,Bxo,9,3,Beta,10,89,21/07/2001,,,1955137093
19535,142,90,Hsx,2,1,Alpha,7,72,22/07/2001,,,1953537094
19538,121,120,Hax,2,1,Alpha,16,51,22/07/2001,,,1953837094
19541,108,30,Cao,3,2,Beta,18,38,22/07/2001,,,1954137094
19542,85,20,Dso,6,8,Beta,8,15,22/07/2001,,,1954237094
19543,76,230,Eai,14,30,Beta-Gamma,-23,6,22/07/2001,,,1954337094
19545,113,30,Dso,4,7,Beta,9,43,22/07/2001,,,1954537094
19546,84,20,Cro,4,4,Beta,-12,14,22/07/2001,,,1954637094
19548,61,120,Dao,7,9,Beta,16,-9,22/07/2001,,,1954837094
19549,54,10,Hrx,1,1,Alpha,-5,-16,22/07/2001,,,1954937094
19535,142,90,Hax,3,1,Alpha,6,85,23/07/2001,,,1953537095
19538,121,150,Hax,2,1,Alpha,16,64,23/07/2001,,,1953837095
19541,108,20,Hsx,1,1,Alpha,19,51,23/07/2001,,,1954137095
19543,76,380,Eai,15,41,Beta-Gamma,-22,19,23/07/2001,,,1954337095
19545,114,70,Dso,7,16,Beta,9,57,23/07/2001,,,1954537095
19546,85,90,Dso,8,11,Beta,-15,28,23/07/2001,,,1954637095
19548,61,110,Dso,9,12,Beta,17,4,23/07/2001,,,1954837095
19538,122,120,Hax,2,1,Alpha,15,78,24/07/2001,,,1953837096
19541,109,20,Axx,1,1,Alpha,19,65,24/07/2001,,,1954137096
19543,75,250,Eai,15,40,Beta-Gamma,-25,31,24/07/2001,,,1954337096
19545,116,120,Dao,7,7,Beta,8,72,24/07/2001,,,1954537096
19546,88,20,Hrx,2,3,Alpha,-15,44,24/07/2001,,,1954637096
19548,60,90,Dao,9,6,Beta,18,16,24/07/2001,,,1954837096
19552,29,10,Cro,5,2,Beta,13,-15,24/07/2001,,,1955237096
19553,10,30,Cso,4,3,Beta,13,-34,24/07/2001,,,1955337096
19538,121,90,Hsx,3,1,Alpha,15,90,25/07/2001,,,1953837097
19541,108,10,Hrx,1,1,Alpha,18,77,25/07/2001,,,1954137097
19543,75,350,Eki,15,32,Beta-Gamma,-23,44,25/07/2001,,,1954337097
19545,116,100,Hax,3,2,Alpha,8,85,25/07/2001,,,1954537097
19546,89,10,Cso,1,2,Beta,-14,58,25/07/2001,,,1954637097
19548,62,70,Cso,6,3,Beta,17,31,25/07/2001,,,1954837097
19553,10,20,Cso,5,8,Beta,12,-21,25/07/2001,,,1955337097
19554,92,10,Bxo,2,2,Beta,16,61,25/07/2001,,,1955437097
19555,336,0,Bxo,3,2,Beta,-9,-55,25/07/2001,,,1955537097
19543,76,310,Fai,16,17,Beta-Gamma,-23,58,26/07/2001,,,1954337098
19548,63,80,Hsx,2,1,Alpha,17,45,26/07/2001,,,1954837098
19553,10,100,Dai,6,13,Beta,13,-8,26/07/2001,,,1955337098
19554,93,20,Hrx,1,1,Alpha,17,75,26/07/2001,,,1955437098
19555,340,10,Cro,3,2,Beta,-9,-38,26/07/2001,,,1955537098
19556,60,20,Cao,3,2,Beta,-7,42,26/07/2001,,,1955637098
19543,74,310,Eao,15,11,Beta-Gamma,-24,70,27/07/2001,,,1954337099
19548,63,60,Hsx,2,1,Alpha,16,59,27/07/2001,,,1954837099
19553,9,190,Dai,8,15,Beta,13,5,27/07/2001,,,1955337099
19554,90,10,Axx,1,1,Alpha,16,86,27/07/2001,,,1955437099
19555,336,10,Bxo,3,2,Beta,-9,-28,27/07/2001,,,1955537099
19556,60,20,Cso,3,2,Beta,-7,56,27/07/2001,,,1955637099
19557,292,80,Hsx,4,1,Alpha,-18,-72,27/07/2001,,,1955737099
19558,34,10,Bxo,2,2,Beta,18,30,27/07/2001,,,1955837099
19543,73,190,Esi,13,7,Beta-Gamma,-25,82,28/07/2001,,,1954337100
